date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:04:31	957/957	---M--	200	added ('OK')	image/png	etag:%223f4e509613b5836022b374e46f2a1381%22	https://support.binance.com/system/photos/1140/9841/6071/%e5%be%bd%e6%a0%8737x37.png	D:/bin/bin/support.binance.com/system/photos/1140/9841/6071/%e5%be%bd%e6%a0%8737x37.png	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:31	10167/10167	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:04:30%20GMT	https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed/subscription	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:34	9052/9052	---MCZ	200	added ('OK')	text/javascript	etag:W/%220fd7bf47541e3f7a564929ea2b57ed45%22	https://binance.zendesk.com/auth/v2/host.js	D:/bin/bin/binance.zendesk.com/auth/v2/host.js	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:34	1955/1955	---M-Z	200	added ('OK')	application/javascript	etag:W/%2259769257-7a3%22	https://p13.zdassets.com/assets/zendesk_pci_hc.v4.js	D:/bin/bin/p13.zdassets.com/assets/zendesk_pci_hc.v4.js	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:35	9892/9892	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:04:34%20GMT	https://support.binance.com/hc/en-us/articles/POST	D:/bin/bin/support.binance.com/hc/en-us/articles/POST	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:36	73835/73835	---M--	200	added ('OK')	application/javascript	etag:%225a68aa0e-1206b%22	http://p13.zdassets.com/hc/assets/locales/en-us-81bc1ea51b70d411a7857e0f6f67df60.js	D:/bin/bin/p13.zdassets.com/hc/assets/locales/en-us-81bc1ea51b70d411a7857e0f6f67df60.js	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:04:43	44624/44624	---M--	200	added ('OK')	application/font-woff	etag:%225a12b6d6-ae50%22	http://p13.zdassets.com/hc/assets/entypo-5adc1c49be0325a8cdac239d1b0b05ad.woff	D:/bin/bin/p13.zdassets.com/hc/assets/entypo-5adc1c49be0325a8cdac239d1b0b05ad.woff	(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
02:04:47	71396/71396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a12edea-116e4%22	http://p13.zdassets.com/hc/assets/entypo-3abe7740fe6a52bc50b230991f869092.eot	D:/bin/bin/p13.zdassets.com/hc/assets/entypo-3abe7740fe6a52bc50b230991f869092.eot	(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
02:04:47	71396/71396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a12edea-116e4%22	http://p13.zdassets.com/hc/assets/entypo-3abe7740fe6a52bc50b230991f869092.eot?	D:/bin/bin/p13.zdassets.com/hc/assets/entypo-3abe7740fe6a52bc50b230991f869092d41d.eot	(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
02:04:47	113986/113986	---M--	200	added ('OK')	image/svg+xml	etag:%225a12b6d6-1bd42%22	http://p13.zdassets.com/hc/assets/entypo-871383d0cf0ec0b749040df783006519.svg	D:/bin/bin/p13.zdassets.com/hc/assets/entypo-871383d0cf0ec0b749040df783006519.svg	(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
